다가,41,193 
마나,76,155 
바사,53,179 
가마,119,164 
나타,102,151 
타다,84,198 
타바,81,162 
바바,52,140 
사사,71,178 
마아,42,148 
사라,75,141 
차가,60,175 
하파,119,141 
카바,99,158 
다타,70,167 
자마,72,155 
라가,59,146 
자바,111,193 
차차,53,179 
다자,91,168 
자가,55,195 
차타,43,173 
하라,116,190 
아다,104,196 
타차,97,155 
아파,117,180 
자카,101,140 
파사,65,152 
가사,111,174 
아사,50,145 
하사,90,145 
파하,71,166 
가마,115,150 
사아,51,186 
다바,92,157 
차가,69,141 
자타,114,146 
바타,109,152 
바나,114,179 
카마,47,189 
라사,102,167 
사차,94,144 
나차,98,177 
타자,109,157 
바파,114,159 
가하,60,144 
바사,54,155 
다다,82,188 
마카,111,156 
사마,56,141 
마차,67,147 
나차,82,179 
자하,88,176 
가다,107,155 
가라,68,196 
바차,66,140 
나바,103,178 
나하,45,161 
사나,48,199 
자라,54,157 
가카,82,195 
자바,99,150 
아가,118,172 
아아,59,173 
나가,92,197 
타마,85,196 
마타,81,198 
마하,65,180 
바자,117,187 
나나,57,184 
아마,49,170 
차카,63,153 
나타,78,163 
차파,52,162 
바차,115,187 
라다,76,153 
나다,117,170 
마하,67,190 
카카,77,144 
사나,84,184 
차파,85,199 
차파,60,188 
카아,62,181 
하파,76,140 
하마,65,197 
카라,90,159 
라마,94,163 
아사,84,148 
아라,91,194 
타차,61,167 
다타,71,155 
차마,107,199 
하나,68,169 
사나,94,163 
다파,60,190 
나다,95,197 
바사,86,187 
카파,103,157 
파아,44,167 
하차,89,153 
